id,name,parent_id/id,property_account_expense_categ/id,property_account_income_categ/id
cwa_module.cbl_1410520,ROOKWORST VERPAKT,cwa_module.cbl_14105,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1410525,VACUUM KIP,cwa_module.cbl_14105,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1410530,VEGETARISCHE VLEESVERVANGERS,cwa_module.cbl_14105,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1420505,VARKENSVLEES,cwa_module.cbl_14205,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1420506,VARKENSVLEES PANKLAAR,cwa_module.cbl_14205,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1420510,RUNDVLEES,cwa_module.cbl_14205,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1420511,RUNDVLEES PANKLAAR,cwa_module.cbl_14205,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1420515,PAARDENVLEES,cwa_module.cbl_14205,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1420520,KALFSVLEES,cwa_module.cbl_14205,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1420525,"LAMSVLEES, SCHAPENVLEES",cwa_module.cbl_14205,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1420530,GEDRAAIDE VLEESPRODUCTEN,cwa_module.cbl_14205,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1420535,BGF-PAKKETTEN,cwa_module.cbl_14205,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1420540,OVERIG PANKLAAR VLEES,cwa_module.cbl_14205,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1420545,VERSE  ROOKWORST,cwa_module.cbl_14205,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1420550,VEGETARISCHE VLEESVERVANGERS,cwa_module.afdeling_05,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_1420551,VEGETARISCHE VLEESVERVANGERS PANKLAAR,cwa_module.afdeling_05,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_1421005,KIP,cwa_module.cbl_14210,"voedselcoop_7304","voedselcoop_8004"
cwa_module.cbl_1421006,KIP PANKLAAR,cwa_module.cbl_14210,"voedselcoop_7304","voedselcoop_8004"
cwa_module.cbl_1421010,KALKOEN,cwa_module.cbl_14210,"voedselcoop_7304","voedselcoop_8004"
cwa_module.cbl_1421011,KALKOEN PANKLAAR,cwa_module.cbl_14210,"voedselcoop_7304","voedselcoop_8004"
cwa_module.cbl_1421015,OVERIG GEVOGELTE,cwa_module.cbl_14210,"voedselcoop_7304","voedselcoop_8004"
cwa_module.cbl_1421020,OVERIG PANKLAAR GEVOGELTE,cwa_module.cbl_14210,"voedselcoop_7304","voedselcoop_8004"
cwa_module.cbl_1421505,"HAAS,KONIJN",cwa_module.cbl_14215,"voedselcoop_7304","voedselcoop_8004"
cwa_module.cbl_1421510,OVERIG WILD,cwa_module.cbl_14215,"voedselcoop_7304","voedselcoop_8004"
cwa_module.cbl_1430505,KIP EN ANDER GEVOGELTE,cwa_module.cbl_14305,"voedselcoop_7310","voedselcoop_8010"
cwa_module.cbl_1430510,WILD,cwa_module.cbl_14305,"voedselcoop_7310","voedselcoop_8010"
